name,listing_urls,homepage_url,discovered_via
Cancer Research UK - Race for Life,"[""https://raceforlife.cancerresearchuk.org/find-an-event?sort-field=eventDate""]",https://raceforlife.cancerresearchuk.org/,findarace.com
RunThrough Events,"[""https://www.runthrough.co.uk/events-timeline""]",https://www.runthrough.co.uk/,findarace.com
Zig Zag Running,"[""https://www.zigzagrunning.co.uk/""]",https://www.zigzagrunning.co.uk/,findarace.com
Sportiva Events,"[""https://sportivaevents.co.uk/events/""]",https://sportivaevents.co.uk/,findarace.com
It's Grim up North Running,"[""https://www.itsgrimupnorthrunning.co.uk/calendars/sport-events""]",https://www.itsgrimupnorthrunning.co.uk/,findarace.com
Phoenix Running,"[""https://www.phoenixrunning.co.uk/events""]",https://www.phoenixrunning.co.uk/,findarace.com
UK Running Events,"[""https://www.ukrunningevents.co.uk/events/trail-runs"", ""https://www.ukrunningevents.co.uk/events/hiking-trails""]",https://www.ukrunningevents.co.uk/,findarace.com
ATW,"[""https://www.atwevents.co.uk/calendars/sport-events""]",https://www.atwevents.co.uk/,findarace.com
Saturn Running,"[""https://www.saturnrunning.co.uk/calendars/sport-events""]",https://www.saturnrunning.co.uk/,findarace.com
A.S.O. UK,[],https://aso-uk.com/,findarace.com
Active South West Ltd,[],https://www.activesouthwest.co.uk/,findarace.com
Alcohol Change UK,[],https://alcoholchange.org.uk/,findarace.com
Balmoral Road Races Ltd,[],https://runbalmoral.com/,findarace.com
Basingstoke and Mid Hants Athletics Club,[],https://bmhac.co.uk/,findarace.com
Beacon Race Events,[],https://www.beaconrace-events.co.uk/,findarace.com
Bedford Harriers,[],https://www.bedfordharriers.co.uk/,findarace.com
Belvoir Challenge (parents and friends of Harby Primary School),[],https://belvoirchallenge.com/,findarace.com
Bog Dog Running,[],https://www.bog-dog.co.uk/,findarace.com
Castle Race Series,[],https://www.castleraceseries.com/,findarace.com
Challenge Running Ltd,[],https://www.challenge-running.co.uk/,findarace.com
Colchester10k / Rotary in Colchester,[],https://colchester10k.com/,findarace.com
Dartmoor Marathon,[],https://www.dartmoormarathon.co.uk/,findarace.com
