id,organiser_id,organiser_name,name,sport,date_text,location,start_location,finish_location,distances,age_restriction_text,url,summary,first_seen_at,last_seen_at,last_crawled_at
1,1,RunThrough Events,Southampton Running Festival August 2027,running,"Sunday, 8th August, 2027","The Avenue, Southampton, UK",,,,,https://www.runthrough.co.uk/event/southampton-running-festival-august-2027,"Join RunThrough for the Southampton Running Festival on August 8, 2027, featuring races on Southampton Common through woodland, grassland and parkland. Distances include 5K, 10K, Half Marathon and Junior Race with accurate km markers and marshals.",2026-08-15 17:02:18.318708+00:00,2026-08-15 17:02:18.318708+00:00,2026-08-15 17:02:18.318708+00:00
2,1,RunThrough Events,Southampton Running Festival May 2027,running,"Sunday, 30th May, 2027","The Avenue, Southampton, UK",,,,,https://www.runthrough.co.uk/event/southampton-running-festival-may-2027,"Join us for the RunThrough at Southampton Running Festival on May 30, 2027. Start and finish in the picturesque surroundings of Southampton Common, following a scenic route through woodland, grassland, ponds, wetlands, lakes and open parkland.",2026-08-15 17:02:36.035238+00:00,2026-08-15 17:02:36.035238+00:00,2026-08-15 17:02:36.035238+00:00
3,1,RunThrough Events,Leeds Running Festival May 2027,running,"Sunday, 30th May, 2027","Mansion Ln, Roundhay, Leeds LS8 2HH, UK",,,,,https://www.runthrough.co.uk/event/leeds-running-festival-may-2027,,2026-08-15 17:02:55.236223+00:00,2026-08-15 17:02:55.236223+00:00,2026-08-15 17:02:55.236223+00:00
4,1,RunThrough Events,Brighton TEN June 2027,running,"Sunday, 27th June, 2027","Kingsway, Brighton and Hove, Hove BN3 2PE, UK",,,,,https://www.runthrough.co.uk/event/brighton-ten-june-2027,"Join us for the RunThrough at Brighton TEN June 2027 on June 27, 2027. Choose from the 10K or 10 Mile and enjoy a brilliant running experience by the sea, with the Event Village based at its new location on Hove Lawns.",2026-08-15 17:03:13.163756+00:00,2026-08-15 17:03:13.163756+00:00,2026-08-15 17:03:13.163756+00:00
5,1,RunThrough Events,Marlow Triathlon July 2027,triathlon,"Sunday, 11th July, 2027","High St, Marlow SL7 1BA, UK",,,,,https://www.runthrough.co.uk/event/marlow-triathlon-july-2027,"Join us for the RunThrough at Marlow Triathlon July 2027 on July 11, 2027. Choose from Sprint, Olympic or Middle Distance Triathlon distances as you swim in the River Thames, ride through rolling hills, and run past beautiful riverside views at Higginson Park.",2026-08-15 17:03:31.500483+00:00,2026-08-15 17:03:31.500483+00:00,2026-08-15 17:03:31.500483+00:00
6,1,RunThrough Events,Marlow Triathlon May 2027,triathlon,"Sunday, 30th May, 2027","High St, Marlow SL7 1BA, UK",,,,,https://www.runthrough.co.uk/event/marlow-triathlon-may-2027,"Join us for the RunThrough at Marlow Triathlon on May 30, 2027 offering Sprint, Olympic and Middle Distance options. Swim in the River Thames, cycle through the scenic Chiltern countryside and finish with a riverside run across the park.",2026-08-15 17:03:52.755431+00:00,2026-08-15 17:03:52.755431+00:00,2026-08-15 17:03:52.755431+00:00
7,1,RunThrough Events,Women's Run Series London 5k & 10k March 2027,running,"Sunday, 14th March, 2027","1 Honour Lea Ave, London E20 1HH, UK",,,,,https://www.runthrough.co.uk/event/womens-run-series-london-5k-10k-march-2027,"Join us for the RunThrough at Women's Run Series London 5k & 10k March 2027 on March 14, 2027 at the Queen Elizabeth Olympic Park. Choose from the 5K or 10K and enjoy a supportive, inclusive race-day atmosphere. The course is beginner, buggy and wheelchair accessible.",2026-08-15 17:04:10.822633+00:00,2026-08-15 17:04:10.822633+00:00,2026-08-15 17:04:10.822633+00:00
8,1,RunThrough Events,Solihull Half Marathon & 5k August 2027,running,"Sunday, 8th August, 2027","Malvern Park Ave, Solihull B91 3EA, UK",,,,,https://www.runthrough.co.uk/event/solihull-half-marathon-5k-august-2027,"Join us for the RunThrough at Solihull Half Marathon & 5k August 2027 on August 8, 2027. The event features fully road-closed routes with a vibrant event village in Malvern Park in the heart of Solihull. The Half Marathon follows an undulating course through Solihull town centre before heading out to the picturesque villages of Knowle, Barston and Eastcote.",2026-08-15 17:04:29.291771+00:00,2026-08-15 17:04:29.291771+00:00,2026-08-15 17:04:29.291771+00:00
9,1,RunThrough Events,Southport Seaside 10k August 2027,running,"Sunday, 1st August, 2027","50 Marine Dr, Southport PR8 1SB, UK",,,,,https://www.runthrough.co.uk/event/southport-seaside-10k-august-2027,"A fast, flat summer 10k race along Marine Drive with seafront and pier views, returning to Princes Park. Suitable for beginners and those chasing PBs on a partially closed-road out-and-back course. Includes marshals, event village, and optional event t-shirt.",2026-08-15 17:04:45.847231+00:00,2026-08-15 17:04:45.847231+00:00,2026-08-15 17:04:45.847231+00:00
10,1,RunThrough Events,"Run Reigate 5k, 10k, Half Marathon & Kids Race September 2027",running,"Sunday, 19th September, 2027","Bell St, Reigate RH2 7RL, UK",,,,,https://www.runthrough.co.uk/event/run-reigate-5k-10k-half-marathon-kids-race-september-2027,"Join us for the RunThrough at Run Reigate 5k, 10k, Half Marathon & Kids Race September 2027 on September 19, 2027.",2026-08-15 17:05:03.424785+00:00,2026-08-15 17:05:03.424785+00:00,2026-08-15 17:05:03.424785+00:00
