name,listing_urls,homepage_url,discovered_via,sitemap_url,handler,handler_params
RunThrough Events,"[""https://www.runthrough.co.uk/events-timeline""]",https://www.runthrough.co.uk/,findarace.com,https://www.runthrough.co.uk/sitemap.xml,,
Cancer Research UK - Race for Life,"[""https://raceforlife.cancerresearchuk.org/find-an-event?size=n_200_n&sort-field=eventDate""]",https://raceforlife.cancerresearchuk.org/,findarace.com,https://raceforlife.cancerresearchuk.org/sitemap.xml,,
Zig Zag Running,"[""https://www.zigzagrunning.co.uk/""]",https://www.zigzagrunning.co.uk/,findarace.com,https://www.zigzagrunning.co.uk/sitemap.xml,,
Sportiva Events,"[""https://sportivaevents.co.uk/events/""]",https://sportivaevents.co.uk/,findarace.com,https://sportivaevents.co.uk/sitemap_index.xml,,
It's Grim up North Running,"[""https://www.itsgrimupnorthrunning.co.uk/calendars/sport-events""]",https://www.itsgrimupnorthrunning.co.uk/,findarace.com,,,
Phoenix Running,"[""https://www.phoenixrunning.co.uk/events""]",https://www.phoenixrunning.co.uk/,findarace.com,,,
UK Running Events,"[""https://www.ukrunningevents.co.uk/events/trail-runs"", ""https://www.ukrunningevents.co.uk/events/hiking-trails""]",https://www.ukrunningevents.co.uk/,findarace.com,,,
ATW,"[""https://www.atwevents.co.uk/calendars/sport-events""]",https://www.atwevents.co.uk/,findarace.com,,,
Saturn Running,"[""https://www.saturnrunning.co.uk/calendars/sport-events""]",https://www.saturnrunning.co.uk/,findarace.com,,,
A.S.O. UK,[],https://aso-uk.com/,findarace.com,https://aso-uk.com/sitemap_index.xml,,
Active South West Ltd,[],https://www.activesouthwest.co.uk/,findarace.com,,,
Alcohol Change UK,[],https://alcoholchange.org.uk/,findarace.com,https://alcoholchange.org.uk/sitemaps-1-sitemap.xml,,
Balmoral Road Races Ltd,[],https://runbalmoral.com/,findarace.com,,,
Basingstoke and Mid Hants Athletics Club,[],https://bmhac.co.uk/,findarace.com,https://bmhac.co.uk/wp-sitemap.xml,,
Beacon Race Events,[],https://www.beaconrace-events.co.uk/,findarace.com,,,
Bedford Harriers,[],https://www.bedfordharriers.co.uk/,findarace.com,,,
Belvoir Challenge (parents and friends of Harby Primary School),[],https://belvoirchallenge.com/,findarace.com,https://belvoirchallenge.com/sitemap.xml,,
Bog Dog Running,[],https://www.bog-dog.co.uk/,findarace.com,https://www.bog-dog.co.uk/sitemap.xml,,
Castle Race Series,[],https://www.castleraceseries.com/,findarace.com,,,
Challenge Running Ltd,[],https://www.challenge-running.co.uk/,findarace.com,https://www.challenge-running.co.uk/sitemap.xml,,
Colchester10k / Rotary in Colchester,[],https://colchester10k.com/,findarace.com,https://colchester10k.com/sitemap_index.xml,,
Dartmoor Marathon,[],https://www.dartmoormarathon.co.uk/,findarace.com,,,
Dave Talbot - Adventure Events,[],https://davetalbot.net/,findarace.com,,,
Dirt Running,[],https://dirtrunning.org.uk/,findarace.com,,,
Do3,[],https://www.do3.co.uk/,findarace.com,,,
Ealing Half Marathon,[],https://www.ealinghalfmarathon.com/,findarace.com,,,
Epic Endurance,[],https://www.epicenduranceevents.co.uk/,findarace.com,https://www.epicenduranceevents.co.uk/sitemap.xml,,
Eyam Half Marathon,[],https://www.eyamhalfmarathon.org/,findarace.com,https://www.eyamhalfmarathon.org/sitemap.xml,,
Focal Events,[],https://focal.events/,findarace.com,,,
Foxes Farm Produce,[],https://foxesfarmproduce.co.uk/,findarace.com,https://foxesfarmproduce.co.uk/sitemaps-1-sitemap.xml,,
Frimley Health Charity,[],https://www.frimleyhealthcharity.org/,findarace.com,https://www.frimleyhealthcharity.org/sitemap_index.xml,,
Frome Triathlon Club,[],https://clubspark.net/,findarace.com,,,
Goring 10K,[],https://www.goring10k.com/,findarace.com,https://goring10k.com/sitemap.xml,,
Great Run,[],https://www.greatrun.org/,findarace.com,,,
Haydon Bridge & Haydon Parish Development Trust Ltd.,[],https://haydon-bridge.co.uk/,findarace.com,https://haydon-bridge.co.uk/tribe_events-sitemap.xml,,
Hellfire Events Ltd,[],https://www.hellfireevents.com/,findarace.com,https://www.hellfireevents.com/wp-sitemap.xml,,
Insane Terrain Running,[],https://www.insaneterrainevents.com/,findarace.com,https://www.insaneterrainevents.com/sitemap.xml,,
Jurassic Coast 10K,[],https://jurassiccoast10k.co.uk/,findarace.com,https://jurassiccoast10k.co.uk/sitemap.xml.gz,,
Lechlade & District Lions Club,[],https://www.lechladelions.org.uk/,findarace.com,https://www.lechladelions.org.uk/sitemap.xml,,
Little Lifts,[],https://www.littlelifts.org.uk/,findarace.com,,,
London Marathon Events,[],https://www.londonmarathonevents.co.uk/,findarace.com,,,
MK Marathon Weekend,[],https://mkmarathon.com/,findarace.com,,,
Nene Valley Races,[],https://nenevalleyraces.com/,findarace.com,https://nenevalleyraces.com/sitemap.xml,,
Nice Work Partner Races / Wadhurst Runners,[],https://www.nice-work.org.uk/,findarace.com,,,
Phoenix Running Crystal Palace,"[""https://www.phoenixrunning.co.uk/events""]",https://www.phoenixrunning.co.uk/,findarace.com,,,
Redway Runners,[],https://www.redwayrunners.com/,findarace.com,https://www.redwayrunners.com/sitemap_index.xml,,
RTC Events,[],https://www.rtcevents.co.uk/,findarace.com,,,
Runningmonk Trail Events,[],https://www.runningmonktrailevents.com/,findarace.com,https://www.runningmonktrailevents.com/sitemap.xml,,
Sporting Events UK,[],https://www.sportingeventsuk.com/,findarace.com,,,
Street Child,[],https://street-child.org/,findarace.com,,,
Stuweb Events,[],https://www.stuweb.co.uk/,findarace.com,,,
Superhuman Sports,[],https://www.superhumansports.com/,findarace.com,,,
Surrey Trek and Run,[],https://www.surreytrekandrun.co.uk/,findarace.com,https://www.surreytrekandrun.co.uk/sitemap.xml,,
Teach First,[],https://www.teachfirst.org.uk/,findarace.com,,,
The Amazing Northampton Run CIC,[],https://www.theamazingnorthamptonrun.co.uk/,findarace.com,,,
The Robin Cancer Trust,[],https://www.therobincancertrust.org/,findarace.com,https://www.therobincancertrust.org/sitemap.xml,,
The Royal Parks charity,[],https://www.royalparks.org.uk/,findarace.com,,,
Three Forts Challenge,[],https://www.threefortschallenge.org.uk/,findarace.com,,,
Turner Swim,[],https://www.turnerswim.co.uk/,findarace.com,,,
Wilderness Development,[],https://www.wilderness-development.com/,findarace.com,,,
WitchWood Run,[],https://witchwoodrun.com/,findarace.com,,,
Worcester Triathlon Club,[],https://worcestertriclub.co.uk/,findarace.com,https://worcestertriclub.co.uk/sitemap_index.xml,,
Geo-Planet Wildmarathon,[],https://wildmarathon.com/,findarace.com,https://wildmarathon.com/sitemap_index.xml,,
Hare & Tortoise Running Ltd,[],https://www.hareandtortoiserunning.co.uk/,findarace.com,https://www.hareandtortoiserunning.co.uk/sitemap.xml,,
Limelight Sports,[],http://limelightsportsgroup.com/,findarace.com,,,
Northstowe Running Festival Events,[],https://northstowerunfest.co.uk/,findarace.com,,,
Prosper Events,[],https://www.prosperevents.co.uk/,findarace.com,https://www.prosperevents.co.uk/sitemap.xml,,
Run Fanatics,[],https://runfanatics.com/,findarace.com,,,
Run Jersey Events,[],https://www.runjersey.co.uk/,findarace.com,,,
The Drop,[],https://www.thedropuk.co.uk/,findarace.com,,,
